age,education_level,marital_status,num_dependents,region,employment_type,employment_years,months_employed,annual_income,monthly_income,savings_balance,investment_balance,credit_score,num_credit_lines,num_late_payments,credit_util_rate,loan_purpose,loan_amount,loan_term_months,interest_rate,monthly_payment,debt_to_income,loan_to_income,property_type,has_cosigner,num_prev_loans
59,Associate,Divorced,5,Central,Employed,15.7,188,58627.44,4885.62,796.84,9879.68,678,9,3,0.2022,Vacation,8996.48,24,10.34,416.54,0.0853,0.1535,Rent,0,0
61,Master,Married,0,North,Self-Employed,7.3,87,82984.57,6915.38,38970.2,22272.68,714,2,0,0.6933,Medical,1177.75,48,8.38,28.96,0.0042,0.0142,Rent,0,1
58,High School,Married,4,South,Part-Time,4.0,47,43375.92,3614.66,14958.35,6577.34,556,17,5,0.2729,Vacation,3742.03,60,6.89,73.9,0.0204,0.0863,Own,0,0
62,Associate,Divorced,5,West,Self-Employed,12.8,154,61845.27,5153.77,44403.84,45144.14,587,5,4,0.0994,Car,4059.37,120,6.03,45.14,0.0088,0.0656,Other,0,2
47,Bachelor,Married,0,West,Self-Employed,0.0,0,71487.73,5957.31,9683.12,4466.29,634,9,2,0.3462,Business,112473.36,84,7.41,1720.21,0.2888,1.5733,Other,0,0
25,Bachelor,Divorced,4,South,Part-Time,13.2,158,59285.07,4940.42,21265.92,2690.51,712,14,9,0.1379,Education,25133.84,48,3.24,558.95,0.1131,0.4239,Mortgage,0,6
65,Bachelor,Single,2,Central,Part-Time,0.8,10,84733.26,7061.1,12990.75,7745.77,641,11,9,0.3296,Medical,3929.25,24,9.64,180.66,0.0256,0.0464,Mortgage,0,6
43,Bachelor,Married,3,Central,Unemployed,11.3,135,78284.1,6523.68,13465.7,12224.75,673,0,7,0.7472,Home,50752.64,60,12.43,1140.15,0.1748,0.6483,Rent,0,1
46,PhD,Divorced,1,West,Self-Employed,5.6,67,101719.76,8476.65,36340.64,6621.97,742,9,8,0.6041,Business,56254.28,24,18.44,2820.46,0.3327,0.553,Own,0,6
39,Master,Divorced,1,West,Employed,9.6,115,77146.45,6428.87,35938.35,39998.19,728,5,4,0.1851,Personal,42147.82,84,9.5,688.81,0.1071,0.5463,Rent,1,6
28,Master,Married,1,East,Employed,18.4,220,48705.7,4058.81,13856.71,3371.3,516,17,7,0.2805,Business,23563.84,48,2.15,512.79,0.1263,0.4838,Rent,0,7
70,Bachelor,Married,0,East,Employed,3.8,45,81393.56,6782.8,3490.86,9721.95,694,19,0,0.2201,Personal,32491.77,84,11.92,572.15,0.0844,0.3992,Mortgage,0,1
62,Bachelor,Divorced,2,East,Employed,3.0,35,63263.78,5271.98,13389.16,8956.27,723,11,3,0.1387,Home,8991.89,60,7.35,179.55,0.0341,0.1421,Own,0,3
54,Bachelor,Married,5,Central,Unemployed,8.4,100,62466.21,5205.52,17480.06,5841.41,673,17,4,0.0829,Car,37199.07,60,8.33,760.16,0.146,0.5955,Rent,0,1
40,Bachelor,Single,4,North,Retired,15.6,187,67040.98,5586.75,42526.05,1570.65,722,11,9,0.3969,Car,24683.75,24,6.26,1096.9,0.1963,0.3682,Rent,0,5
64,Associate,Married,1,North,Retired,8.9,106,57547.89,4795.66,17744.06,3722.6,741,13,1,0.3633,Vacation,3087.2,120,11.04,42.6,0.0089,0.0536,Rent,0,5
49,Bachelor,Married,3,East,Employed,8.2,98,56494.46,4707.87,5617.98,674.86,705,5,5,0.4468,Education,11719.28,48,5.57,272.91,0.058,0.2074,Mortgage,0,1
43,High School,Married,0,East,Employed,8.8,106,35236.28,2936.36,10968.79,62.68,672,8,4,0.0549,Business,21898.38,84,6.77,328.09,0.1117,0.6215,Own,0,0
43,High School,Divorced,0,North,Employed,3.0,35,49427.66,4118.97,19109.53,4424.85,700,4,0,0.1529,Education,4356.73,120,3.77,43.64,0.0106,0.0881,Mortgage,0,7
30,Master,Married,3,West,Unemployed,8.9,106,87244.59,7270.38,124218.1,8663.09,493,14,1,0.3208,Education,15956.07,120,6.71,182.91,0.0252,0.1829,Own,0,3
23,High School,Single,1,North,Self-Employed,6.0,72,33461.49,2788.46,21698.41,665.66,792,15,3,0.3272,Personal,8995.2,120,8.99,113.92,0.0409,0.2688,Mortgage,0,1
49,Bachelor,Single,4,South,Part-Time,14.6,175,76743.08,6395.26,9400.06,19451.97,785,8,0,0.3358,Vacation,3745.12,120,9.53,48.53,0.0076,0.0488,Rent,0,4
68,Bachelor,Divorced,0,East,Retired,12.0,143,75087.47,6257.29,21041.85,483.52,780,6,8,0.0045,Home,70524.52,36,8.75,2234.58,0.3571,0.9392,Mortgage,0,0
21,High School,Single,0,North,Employed,1.4,16,39647.4,3303.95,10536.71,4156.52,690,1,9,0.2931,Medical,33196.15,36,2.94,964.57,0.2919,0.8373,Rent,0,6
66,Master,Divorced,4,West,Employed,6.6,79,100196.9,8349.74,5275.95,66853.39,725,5,8,0.1686,Education,12898.89,36,2.81,374.01,0.0448,0.1287,Rent,0,6
65,High School,Single,1,East,Part-Time,10.6,127,61138.44,5094.87,2377.89,3165.97,691,10,7,0.1882,Education,57825.72,60,9.45,1212.99,0.2381,0.9458,Own,0,5
33,Master,Married,0,East,Employed,3.1,37,73036.88,6086.41,21700.27,5877.31,705,17,7,0.3114,Vacation,102731.64,12,14.71,9258.19,1.0,1.4066,Mortgage,1,4
54,Master,Divorced,4,East,Employed,2.6,31,75213.12,6267.76,23572.57,4232.81,789,13,9,0.0883,Medical,7381.08,12,5.58,633.84,0.1011,0.0981,Mortgage,0,6
27,Associate,Married,4,West,Employed,5.7,68,37840.92,3153.41,11537.73,647.04,538,10,4,0.1212,Home,81109.59,48,9.94,2054.85,0.6516,2.1434,Mortgage,0,1
61,High School,Divorced,5,West,Self-Employed,9.7,116,56118.14,4676.51,5936.18,4225.32,715,11,2,0.3182,Vacation,54412.47,60,7.12,1080.48,0.231,0.9696,Rent,0,1
57,Associate,Single,3,West,Retired,13.2,158,51682.39,4306.87,1709.02,6128.45,613,7,3,0.114,Home,48074.25,84,9.58,787.6,0.1829,0.9302,Own,0,4
38,Bachelor,Married,2,South,Employed,9.2,109,62772.44,5231.04,6353.43,7153.04,587,10,5,0.3115,Education,97617.57,24,7.88,4409.8,0.843,1.5551,Own,0,0
21,Associate,Married,4,West,Employed,20.3,243,30149.35,2512.45,30610.14,1857.57,669,17,2,0.3154,Medical,227445.26,36,7.96,7123.55,1.0,7.544,Rent,0,5
73,PhD,Divorced,4,North,Retired,4.6,55,148360.03,12363.34,10304.51,28814.21,579,19,4,0.33,Business,49058.55,48,5.83,1148.23,0.0929,0.3307,Mortgage,0,5
43,Associate,Single,3,North,Employed,11.7,140,45487.93,3790.66,9937.9,4536.64,579,5,2,0.7365,Personal,46665.8,60,7.5,935.01,0.2467,1.0259,Mortgage,0,0
68,Master,Married,1,Central,Part-Time,2.5,29,114329.1,9527.42,7714.12,16299.64,547,0,2,0.2494,Medical,16644.56,24,8.34,755.34,0.0793,0.1456,Own,0,2
56,High School,Married,5,North,Retired,16.1,192,56933.0,4744.42,8282.82,24064.76,641,5,6,0.1266,Home,13139.99,120,4.88,138.62,0.0292,0.2308,Own,0,0
62,PhD,Widowed,4,North,Employed,14.8,177,125208.76,10434.06,12624.41,37130.31,722,7,5,0.2311,Vacation,55023.62,120,9.65,716.5,0.0687,0.4395,Mortgage,0,1
61,Associate,Divorced,5,South,Employed,11.6,138,66435.12,5536.26,27548.99,21542.94,746,19,4,0.5685,Medical,11622.56,36,6.29,355.1,0.0641,0.1749,Own,0,1
29,Bachelor,Divorced,3,Central,Employed,0.0,0,65084.34,5423.7,4011.23,19631.77,838,3,9,0.2106,Car,88423.22,12,16.32,8036.25,1.0,1.3586,Other,0,6
38,Bachelor,Married,2,Central,Employed,11.5,138,54134.3,4511.19,591.79,10229.32,647,17,7,0.4093,Business,12885.92,12,10.29,1134.65,0.2515,0.238,Rent,0,0
44,High School,Married,5,West,Employed,3.9,46,42648.23,3554.02,9881.38,1396.38,743,7,3,0.5235,Business,169896.68,48,10.27,4331.07,1.0,3.9837,Own,0,1
46,Master,Divorced,3,North,Employed,10.3,123,93502.8,7791.9,11379.16,12272.92,694,15,2,0.4421,Car,44090.34,12,6.64,3807.64,0.4887,0.4715,Rent,1,3
20,Associate,Divorced,4,West,Employed,0.7,8,41971.75,3497.65,9938.32,6367.59,692,7,2,0.1694,Business,21267.32,84,9.38,346.33,0.099,0.5067,Mortgage,1,1
49,Bachelor,Divorced,5,Central,Part-Time,9.3,112,67257.36,5604.78,18651.94,10889.64,709,14,0,0.1638,Car,6743.64,48,9.17,168.35,0.03,0.1003,Own,0,3
26,Bachelor,Divorced,1,South,Employed,6.2,74,41079.79,3423.32,15825.66,2433.67,744,0,0,0.2367,Home,6305.33,36,2.34,181.55,0.053,0.1535,Rent,1,6
60,Bachelor,Divorced,1,South,Employed,4.1,49,85789.02,7149.08,7940.9,13879.25,718,4,1,0.322,Business,41094.15,48,8.42,1011.28,0.1415,0.479,Mortgage,0,6
56,High School,Single,0,Central,Employed,11.0,131,45426.07,3785.51,42771.94,1395.38,648,2,0,0.0364,Business,94990.91,48,13.97,2594.28,0.6853,2.0911,Mortgage,0,5
70,High School,Single,3,North,Self-Employed,7.7,92,72957.95,6079.83,627.8,3400.31,726,15,7,0.471,Personal,5138.53,120,1.86,46.95,0.0077,0.0704,Mortgage,0,5
60,High School,Widowed,4,Central,Employed,7.0,83,47905.0,3992.08,19181.36,683.63,629,15,4,0.267,Personal,56613.78,84,12.4,1011.58,0.2534,1.1818,Rent,1,0
38,Associate,Married,5,East,Employed,11.7,140,43824.37,3652.03,8418.16,9265.75,726,1,5,0.6221,Car,38022.36,24,11.51,1781.11,0.4877,0.8676,Other,0,4
73,High School,Single,0,West,Retired,17.5,210,63793.77,5316.15,6344.73,8854.66,689,8,6,0.0887,Business,91568.58,48,3.85,2061.53,0.3878,1.4354,Own,1,7
41,PhD,Married,0,South,Part-Time,9.4,112,107508.74,8959.06,2725.36,2615.65,530,12,3,0.6447,Personal,52430.38,120,4.82,551.5,0.0616,0.4877,Own,0,4
36,Bachelor,Married,4,West,Self-Employed,0.0,0,51008.31,4250.69,149.97,3010.07,668,18,8,0.3522,Education,49178.05,60,9.82,1040.53,0.2448,0.9641,Rent,0,4
69,Bachelor,Divorced,1,Central,Part-Time,0.2,2,98739.43,8228.29,9716.19,1475.21,754,10,0,0.2499,Personal,31280.98,24,1.5,1323.84,0.1609,0.3168,Rent,0,4
39,Bachelor,Divorced,2,East,Employed,8.3,100,63837.84,5319.82,13258.64,43795.4,669,19,3,0.1881,Business,34654.33,24,8.68,1578.01,0.2966,0.5428,Own,0,1
22,Associate,Single,0,South,Employed,13.1,157,38774.24,3231.19,7239.39,3185.97,698,15,5,0.1097,Personal,18384.38,60,10.37,393.93,0.1219,0.4741,Mortgage,0,5
44,Bachelor,Married,0,North,Employed,8.7,104,68288.03,5690.67,1886.38,2164.67,641,17,6,0.1924,Home,11935.25,120,10.03,157.92,0.0277,0.1748,Rent,0,2
63,Associate,Single,3,Central,Unemployed,10.6,126,76572.6,6381.05,5142.01,7017.47,658,19,5,0.0881,Medical,19672.04,36,6.35,601.6,0.0943,0.2569,Mortgage,0,5
28,Associate,Divorced,4,Central,Retired,7.7,92,55482.76,4623.56,11575.38,818.41,755,12,0,0.0687,Car,11160.35,60,8.03,226.46,0.049,0.2011,Mortgage,0,3
44,Bachelor,Single,5,West,Self-Employed,12.8,153,66742.91,5561.91,9601.32,37289.06,645,13,2,0.3622,Medical,14606.33,48,8.31,358.73,0.0645,0.2188,Rent,0,3
25,Bachelor,Married,2,North,Employed,11.1,132,39807.35,3317.28,22698.33,1360.75,587,11,0,0.2573,Education,58113.12,120,7.93,703.02,0.2119,1.4599,Rent,0,5
57,PhD,Married,3,Central,Part-Time,2.9,34,104851.24,8737.6,48020.36,11644.25,505,16,1,0.1604,Education,9087.6,12,8.0,790.53,0.0905,0.0867,Rent,0,4
45,Associate,Married,5,East,Self-Employed,10.2,122,46478.53,3873.21,4219.12,3521.79,619,14,8,0.2621,Education,20597.14,84,12.18,365.63,0.0944,0.4432,Other,1,5
36,Bachelor,Married,2,South,Employed,0.3,3,53659.99,4471.67,11541.9,5002.37,592,8,3,0.3866,Personal,5511.85,120,5.89,60.9,0.0136,0.1027,Own,0,6
30,High School,Married,1,South,Employed,10.2,122,38011.61,3167.63,15377.55,1147.89,561,0,1,0.3233,Education,17544.14,120,12.69,258.74,0.0817,0.4615,Other,0,3
50,Associate,Married,4,Central,Employed,6.6,79,60954.78,5079.56,5837.44,7938.52,594,18,0,0.1071,Vacation,85752.9,24,13.39,4092.75,0.8057,1.4068,Other,1,3
56,Master,Single,0,West,Employed,8.8,105,108957.36,9079.78,76780.75,17704.03,600,2,7,0.0731,Vacation,23828.02,60,4.64,445.74,0.0491,0.2187,Mortgage,0,0
71,High School,Married,1,East,Part-Time,9.6,115,49149.28,4095.77,13971.61,578.53,595,16,6,0.5331,Home,7651.62,12,5.26,655.94,0.1602,0.1557,Rent,0,5
42,Bachelor,Married,0,West,Employed,9.4,112,63513.92,5292.83,4952.64,10121.41,790,0,8,0.242,Personal,19348.55,60,1.5,334.92,0.0633,0.3046,Mortgage,0,5
27,Bachelor,Married,3,Central,Self-Employed,15.1,181,55286.49,4607.21,4701.95,10226.23,547,13,8,0.259,Personal,17224.92,84,2.32,222.38,0.0483,0.3116,Rent,0,7
65,High School,Married,1,West,Employed,8.2,98,41675.22,3472.93,10874.98,12956.86,726,16,9,0.4296,Personal,13985.97,60,4.66,261.74,0.0754,0.3356,Mortgage,0,1
53,PhD,Married,2,South,Employed,8.9,107,121645.43,10137.12,9169.63,22354.91,722,4,2,0.1736,Business,34018.07,120,5.69,372.33,0.0367,0.2796,Own,0,4
57,Bachelor,Divorced,3,North,Part-Time,14.6,175,97440.66,8120.06,36493.43,2256.81,729,2,1,0.2325,Personal,15176.51,48,8.6,374.76,0.0462,0.1558,Rent,0,5
23,Master,Single,1,North,Self-Employed,17.5,209,70962.96,5913.58,66973.05,888.33,676,13,2,0.3496,Medical,26449.99,24,5.18,1162.48,0.1966,0.3727,Own,1,1
35,Bachelor,Married,2,South,Unemployed,7.9,94,60463.08,5038.59,2493.16,1514.3,781,18,8,0.2761,Education,10415.89,48,5.94,244.33,0.0485,0.1723,Mortgage,1,6
61,PhD,Single,2,West,Self-Employed,5.4,65,122577.92,10214.83,10851.73,5435.02,680,4,7,0.6073,Vacation,47827.84,84,12.83,865.78,0.0848,0.3902,Own,1,4
65,Associate,Married,0,North,Unemployed,5.7,68,71282.98,5940.25,3579.76,18159.81,663,12,2,0.0799,Education,121883.92,120,11.95,1745.42,0.2938,1.7099,Own,0,4
42,Bachelor,Married,5,North,Employed,10.3,123,75897.05,6324.75,13169.72,4925.33,773,19,6,0.6605,Home,14801.76,60,8.47,303.46,0.048,0.195,Own,0,3
63,Master,Married,5,Central,Self-Employed,7.0,83,100913.86,8409.49,28184.96,21543.25,666,19,1,0.2317,Medical,21553.98,48,14.17,590.88,0.0703,0.2136,Rent,0,0
65,Associate,Single,4,East,Employed,0.0,0,77816.33,6484.69,2019.7,6675.32,552,12,3,0.1288,Medical,29341.45,48,6.36,693.96,0.107,0.3771,Other,1,3
40,Bachelor,Married,0,North,Part-Time,13.6,163,65712.99,5476.08,5656.99,8486.59,720,14,6,0.0842,Business,24013.22,36,6.25,733.23,0.1339,0.3654,Rent,0,1
69,PhD,Married,2,Central,Self-Employed,12.1,144,157140.35,13095.03,783.89,9610.47,766,9,9,0.3603,Personal,39496.49,120,9.98,521.6,0.0398,0.2513,Own,0,0
34,Bachelor,Widowed,2,Central,Employed,13.7,164,65912.39,5492.7,3857.69,44171.99,703,1,1,0.0423,Business,54186.88,48,9.58,1363.5,0.2482,0.8221,Other,0,5
31,Bachelor,Married,0,East,Employed,14.7,176,56316.3,4693.02,35275.63,24820.97,651,12,1,0.4366,Home,5578.4,24,8.02,252.35,0.0538,0.0991,Mortgage,1,2
56,Bachelor,Married,5,North,Part-Time,9.0,107,75800.52,6316.71,12310.51,13247.92,700,9,6,0.1571,Business,32061.15,84,5.55,461.45,0.0731,0.423,Own,0,6
54,Master,Divorced,2,West,Employed,9.3,111,91901.97,7658.5,9011.1,2763.99,734,4,4,0.3816,Home,28219.41,60,7.32,563.02,0.0735,0.3071,Mortgage,0,3
25,Master,Single,3,Central,Self-Employed,13.0,156,75159.97,6263.33,38974.04,779.71,597,3,7,0.375,Business,104085.3,60,8.24,2122.58,0.3389,1.3849,Rent,0,3
65,Bachelor,Married,4,Central,Unemployed,1.9,23,77278.33,6439.86,1254.91,79.85,516,16,1,0.2065,Car,24988.51,84,4.54,347.87,0.054,0.3234,Rent,0,0
29,Associate,Married,1,East,Employed,6.2,74,45993.47,3832.79,35705.14,4146.58,669,1,8,0.2955,Business,9727.05,12,5.66,835.66,0.218,0.2115,Mortgage,0,7
63,High School,Married,2,Central,Self-Employed,7.7,92,55196.86,4599.74,28017.82,14716.36,762,15,4,0.6764,Car,94065.17,48,5.53,2188.86,0.4759,1.7042,Rent,0,1
18,Bachelor,Single,5,Central,Unemployed,12.6,151,33670.2,2805.85,4828.29,1064.42,589,11,1,0.1856,Personal,79804.3,60,5.85,1537.31,0.5479,2.3702,Rent,0,1
63,Master,Married,4,North,Employed,5.3,63,106812.25,8901.02,20497.59,27456.94,577,3,9,0.3915,Vacation,68461.06,120,5.93,757.79,0.0851,0.6409,Mortgage,0,5
62,Bachelor,Married,3,West,Employed,4.4,53,67397.27,5616.44,26235.54,8922.62,696,7,1,0.3305,Car,90861.02,84,6.39,1344.35,0.2394,1.3481,Mortgage,0,1
62,High School,Married,3,West,Self-Employed,5.8,70,53210.06,4434.17,54079.07,790.44,661,1,4,0.1434,Car,9895.92,120,3.81,99.28,0.0224,0.186,Own,1,7
55,Associate,Single,0,West,Self-Employed,10.3,124,67436.57,5619.71,7926.95,19535.56,624,9,5,0.4021,Vacation,9278.7,84,5.74,134.41,0.0239,0.1376,Mortgage,0,6
44,Bachelor,Married,1,East,Part-Time,7.7,91,66551.25,5545.94,43193.44,31.37,773,11,6,0.1819,Vacation,38152.54,60,8.96,791.25,0.1427,0.5733,Rent,0,1
58,Master,Divorced,0,West,Self-Employed,0.7,8,100910.7,8409.23,1088.13,6296.38,626,9,6,0.1784,Medical,21055.73,12,9.2,1843.29,0.2192,0.2087,Mortgage,1,4
33,High School,Single,4,East,Self-Employed,1.7,20,34637.59,2886.47,19615.63,1740.17,708,11,9,0.1444,Vacation,6970.55,12,8.11,606.7,0.2102,0.2012,Rent,0,7
62,Bachelor,Married,5,South,Employed,8.7,104,87990.94,7332.58,18423.81,4025.59,747,2,7,0.1875,Vacation,19994.72,60,5.86,385.27,0.0525,0.2272,Own,0,5
49,Master,Widowed,0,East,Employed,8.8,106,80744.0,6728.67,3315.8,7730.64,663,8,1,0.3036,Education,60795.28,120,5.6,662.75,0.0985,0.7529,Mortgage,0,6
44,PhD,Divorced,1,Central,Self-Employed,8.1,97,113361.34,9446.78,59504.09,10720.18,747,0,1,0.4988,Education,2296.19,12,4.43,195.97,0.0207,0.0203,Mortgage,0,7
46,High School,Single,2,Central,Employed,5.6,67,54033.61,4502.8,6106.23,9691.93,733,15,8,0.3116,Business,44220.55,84,7.77,684.24,0.152,0.8184,Rent,1,1
50,PhD,Married,4,West,Retired,11.9,143,92408.98,7700.75,39188.81,16590.35,694,18,6,0.5069,Home,4108.62,36,9.33,131.29,0.017,0.0445,Mortgage,1,7
20,Bachelor,Single,2,South,Employed,9.8,118,42748.15,3562.35,2925.87,9689.94,650,0,4,0.2741,Vacation,20098.56,12,11.73,1783.21,0.5006,0.4702,Rent,0,5
25,Master,Divorced,0,South,Employed,9.7,116,59816.49,4984.71,18037.88,25039.37,794,7,5,0.175,Education,19342.45,84,10.08,321.92,0.0646,0.3234,Rent,0,2
31,High School,Married,3,South,Part-Time,9.9,118,39888.19,3324.02,14792.62,3436.21,752,9,9,0.5833,Personal,12559.29,120,10.02,166.1,0.05,0.3149,Mortgage,1,6
24,Bachelor,Married,0,South,Employed,16.0,191,41652.53,3471.04,9881.73,522.15,739,1,2,0.3394,Vacation,23751.71,48,8.35,583.74,0.1682,0.5702,Mortgage,0,5
43,Bachelor,Single,3,Central,Employed,2.9,34,55076.67,4589.72,10189.33,4842.04,684,15,8,0.2133,Medical,112491.32,12,8.73,9823.23,1.0,2.0424,Mortgage,0,5
56,Associate,Married,5,East,Retired,5.9,70,63215.57,5267.96,17830.89,4053.71,636,7,2,0.1573,Medical,15649.47,36,6.47,479.41,0.091,0.2476,Mortgage,0,1
55,Bachelor,Single,0,South,Part-Time,6.3,75,69511.01,5792.58,11101.1,8690.07,525,12,4,0.2994,Car,26479.14,120,4.51,274.55,0.0474,0.3809,Mortgage,0,3
44,Bachelor,Married,5,Central,Employed,14.3,171,64032.32,5336.03,13068.45,8932.91,721,13,9,0.1982,Personal,23518.9,36,9.81,756.79,0.1418,0.3673,Mortgage,0,0
66,Bachelor,Married,3,South,Employed,6.1,73,89941.58,7495.13,17841.65,5735.91,653,9,2,0.1522,Education,23441.63,84,13.05,427.1,0.057,0.2606,Rent,0,5
50,High School,Married,0,West,Self-Employed,4.0,48,39942.58,3328.55,7991.72,4460.22,697,11,7,0.2081,Business,15653.32,60,5.85,301.52,0.0906,0.3919,Rent,0,2
22,Bachelor,Divorced,1,West,Employed,7.5,89,46689.82,3890.82,5333.39,3080.53,850,0,0,0.2547,Medical,7340.62,12,6.68,634.08,0.163,0.1572,Own,0,1
61,Associate,Single,1,South,Employed,8.5,102,62961.39,5246.78,10656.66,1393.1,780,5,2,0.2395,Home,14754.87,12,7.57,1280.56,0.2441,0.2343,Mortgage,1,5
50,PhD,Single,5,Central,Employed,14.0,167,112302.87,9358.57,112138.0,7348.41,715,6,2,0.6816,Vacation,141006.32,120,10.8,1926.1,0.2058,1.2556,Rent,1,5
54,PhD,Married,4,West,Unemployed,6.1,73,109606.3,9133.86,47424.91,13159.39,671,5,1,0.2055,Vacation,58923.3,60,7.71,1186.46,0.1299,0.5376,Rent,0,3
50,Associate,Married,2,Central,Employed,4.6,54,51474.76,4289.56,3900.55,8236.2,742,11,1,0.3076,Vacation,13418.55,60,9.19,279.77,0.0652,0.2607,Rent,0,7
49,High School,Single,3,North,Part-Time,3.5,41,50641.12,4220.09,3590.78,5263.45,752,12,7,0.5206,Medical,114480.7,120,9.41,1475.93,0.3497,2.2606,Mortgage,0,5
23,Associate,Married,2,South,Employed,6.3,75,59985.76,4998.81,5710.25,1644.75,649,12,6,0.1798,Education,4059.88,60,6.64,79.7,0.0159,0.0677,Rent,1,6
49,Bachelor,Married,2,South,Self-Employed,20.8,249,68395.32,5699.61,14741.28,12194.34,659,7,3,0.4864,Vacation,24480.75,24,8.37,1111.34,0.195,0.3579,Own,0,5
63,Master,Married,3,West,Employed,9.9,118,96968.19,8080.68,40661.98,41130.7,698,6,7,0.3242,Business,4058.66,120,4.2,41.47,0.0051,0.0419,Own,0,7
35,Bachelor,Married,1,Central,Employed,11.0,131,52166.54,4347.21,15899.51,17905.83,619,12,0,0.5522,Car,101552.79,36,13.28,3435.46,0.7903,1.9467,Mortgage,0,7
52,High School,Single,4,North,Self-Employed,8.0,95,55354.39,4612.87,6501.93,7726.12,625,17,2,0.384,Education,8874.43,84,10.17,148.1,0.0321,0.1603,Own,1,7
19,High School,Single,5,North,Employed,8.7,104,26729.03,2227.42,5795.86,3824.98,589,4,6,0.3786,Home,54970.11,84,12.27,978.21,0.4392,2.0566,Rent,0,4
37,Associate,Married,5,West,Unemployed,11.9,143,59497.48,4958.12,5285.35,6045.58,819,2,8,0.6122,Education,57883.33,24,8.4,2628.61,0.5302,0.9729,Rent,0,4
42,Master,Married,1,South,Part-Time,10.8,129,65657.26,5471.44,3430.52,1330.44,572,7,5,0.128,Business,62133.4,84,6.88,933.99,0.1707,0.9463,Mortgage,1,3
74,Bachelor,Married,2,West,Employed,9.7,116,90738.62,7561.55,56757.59,6166.08,575,4,3,0.1255,Car,19832.09,84,2.65,258.92,0.0342,0.2186,Mortgage,0,0
30,Bachelor,Divorced,1,North,Self-Employed,8.1,96,59306.83,4942.24,15159.9,2849.36,497,16,2,0.2413,Personal,2199.65,60,6.44,42.98,0.0087,0.0371,Own,0,2
33,Associate,Single,3,East,Retired,6.2,74,53124.66,4427.05,5589.8,1918.58,729,16,5,0.1024,Home,26142.14,36,7.61,814.55,0.184,0.4921,Mortgage,0,6
41,PhD,Married,1,North,Employed,10.1,121,109341.12,9111.76,2563.54,13368.24,604,11,9,0.6052,Education,15581.8,36,5.93,473.55,0.052,0.1425,Mortgage,0,4
74,Associate,Married,2,Central,Employed,8.4,101,77628.97,6469.08,18723.33,28716.13,740,7,9,0.1351,Home,18100.85,120,5.68,198.07,0.0306,0.2332,Own,1,1
66,Master,Single,0,North,Part-Time,18.7,223,119637.3,9969.77,44228.0,4187.81,676,7,7,0.0471,Business,10926.23,36,4.4,324.54,0.0326,0.0913,Mortgage,0,7
19,Master,Widowed,3,North,Employed,13.3,159,48453.92,4037.83,2374.04,1009.73,781,5,0,0.3421,Medical,8149.85,48,7.31,196.33,0.0486,0.1682,Rent,1,4
